label_name,label_id,index,recognizable,feature_complete
cat,1,0,1,0
cat,1,1,1,0
cat,1,2,1,0
cat,1,3,1,1
cat,1,4,1,0
cat,1,5,1,0
cat,1,6,0,0
cat,1,7,0,0
cat,1,8,1,0
cat,1,9,1,0
cat,1,10,0,0
cat,1,11,0,0
cat,1,12,0,0
cat,1,13,0,0
cat,1,14,0,0
cat,1,15,1,1
cat,1,16,0,0
cat,1,19,0,0
cat,1,20,1,0
cat,1,21,1,0
cat,1,22,1,1
cat,1,23,0,0
cat,1,24,0,0
cat,1,25,0,0
cat,1,26,0,0
cat,1,27,0,0
cat,1,28,1,0
cat,1,29,1,1
cat,1,30,1,0
cat,1,31,1,1
cat,1,32,1,1
cat,1,33,1,0
cat,1,34,1,1
cat,1,35,1,0
cat,1,36,0,0
cat,1,37,1,0
cat,1,38,0,0
cat,1,39,1,0
cat,1,40,1,0
cat,1,41,1,1
cat,1,42,1,0
cat,1,43,1,0
cat,1,44,1,0
cat,1,45,1,1
cat,1,46,1,1
cat,1,47,0,0
cat,1,48,1,0
cat,1,49,1,0
cat,1,50,1,1
cat,1,51,1,0
cat,1,52,1,0
cat,1,53,1,0
cat,1,54,1,1
cat,1,55,1,0
cat,1,56,1,1
cat,1,57,1,0
cat,1,58,1,1
cat,1,59,1,0
cat,1,60,1,0
cat,1,61,1,0
cat,1,62,0,0
cat,1,63,0,0
cat,1,64,1,1
cat,1,65,0,0
cat,1,66,0,0
cat,1,67,1,1
cat,1,68,1,0
cat,1,69,1,1
cat,1,70,1,0
cat,1,71,1,1
cat,1,72,1,1
cat,1,73,1,0
cat,1,74,0,0
cat,1,75,1,0
cat,1,76,1,0
cat,1,77,1,0
cat,1,78,1,1
cat,1,79,1,0
cat,1,80,0,0
cat,1,81,1,0
cat,1,82,1,0
cat,1,83,1,0
cat,1,84,1,0
cat,1,85,1,1
cat,1,86,1,0
cat,1,87,1,0
cat,1,88,1,0
cat,1,89,0,0
cat,1,90,0,0
cat,1,91,0,0
cat,1,92,1,0
cat,1,93,1,0
cat,1,94,1,1
cat,1,95,1,1
cat,1,96,1,0
cat,1,97,1,0
cat,1,98,0,0
cat,1,99,0,0
cat,1,100,0,0
cat,1,101,1,0
cat,1,102,1,1
cat,1,103,1,1
cat,1,104,1,0
cat,1,105,1,0
cat,1,106,1,1
cat,1,107,1,0
cat,1,108,1,1
